,Modelo_1,Modelo_2,Observado,Forecast,Upper,Lower
2013-07-28,ARIMAX,EGARCH,5.0,6.064265103673963,10.608332284246188,2.9916774065200817
2013-08-04,ARIMAX,EGARCH,10.0,7.633715911040725,13.153558586198317,3.8938895164904257
2013-08-11,ARIMAX,EGARCH,3.0,11.148609342105788,18.037637343148784,6.302850965523513
2013-08-18,ARIMAX,EGARCH,9.0,5.861771551117874,11.849312739694822,2.2381847183848658
2013-08-25,ARIMAX,EGARCH,7.0,8.240858621538823,15.831041209708019,3.5366299428963264
2013-09-01,ARIMAX,EGARCH,4.0,8.671256609492383,16.136997858491284,3.934220430183427
2013-09-08,ARIMAX,EGARCH,4.0,6.494295373273453,12.900656701468797,2.5853084503693737
2013-09-15,ARIMAX,EGARCH,0.0,5.091069880175279,9.516592535912917,2.2205545521422945
2013-09-22,ARIMAX,EGARCH,4.0,1.6191349859181285,5.388719759921269,-0.18523230524143136
2013-09-29,ARIMAX,EGARCH,1.0,2.592756067277594,6.493663560236833,0.4438278022542752
2013-10-06,ARIMAX,EGARCH,1.0,1.7782173509447075,5.043239174365208,0.04531579256226871
2013-10-13,ARIMAX,EGARCH,5.0,1.4780072090077747,4.714484892567235,-0.15212341723402095
2013-10-20,ARIMAX,EGARCH,3.0,2.6633558851245853,6.740749681952613,0.442825653744049
2013-10-27,ARIMAX,EGARCH,6.0,3.02554689768498,6.244656717360137,1.0098586430846677
2013-11-03,ARIMAX,EGARCH,1.0,4.6469502976548975,10.752458043875302,1.277044494301463
2013-11-10,ARIMAX,EGARCH,4.0,2.7551489891882137,8.121070189263591,0.17674122258223876
2013-11-17,ARIMAX,EGARCH,3.0,3.180666360388069,6.955007199162886,0.9278239138067093
2013-11-24,ARIMAX,EGARCH,0.0,3.0784890516470065,6.817111426469714,0.8609389280201483
2013-12-01,ARIMAX,EGARCH,5.0,1.5126189068573574,5.6847367668303725,-0.3310125655788886
2013-12-08,ARIMAX,EGARCH,5.0,3.041618635432331,8.893900358830303,0.2494862384124964
2013-12-15,ARIMAX,EGARCH,2.0,4.186505598671818,9.322985654706063,1.2381705267680714
2013-12-22,ARIMAX,EGARCH,4.0,4.980326248340293,13.450122004832373,0.8910114540901399
2013-12-29,ARIMAX,EGARCH,0.0,5.270810351221609,11.606125928805957,1.6658925442402612
2014-01-05,ARIMAX,EGARCH,7.0,2.642959703074945,11.524716082159038,-0.4312440870955564
2014-01-12,ARIMAX,EGARCH,5.0,3.1652779748722644,9.174741607232566,0.29252589251478717
2014-01-19,ARIMAX,EGARCH,7.0,4.613613716984882,10.214669231251937,1.4090330393010422
2014-01-26,ARIMAX,EGARCH,4.0,8.654311557904474,17.219138351807423,3.505480883588026
2014-02-02,ARIMAX,EGARCH,2.0,7.325010713035458,20.991468945557784,1.245897157712159
2014-02-09,ARIMAX,EGARCH,2.0,7.725246104677455,15.124104538361872,3.1962884002451544
2014-02-16,ARIMAX,EGARCH,4.0,3.6616989672770943,11.103406088217378,0.29807619817139847
2014-02-23,ARIMAX,EGARCH,4.0,4.383608781783923,12.752104390868887,0.5438470408400282
2014-03-02,ARIMAX,EGARCH,4.0,3.5269497593470955,8.37636551525526,0.838979939487856
2014-03-09,ARIMAX,EGARCH,5.0,3.9689547507966454,11.692727870391655,0.42497133306205637
2014-03-16,ARIMAX,EGARCH,10.0,3.8875492164895835,11.09785926468211,0.4821225490090876
2014-03-23,ARIMAX,EGARCH,4.0,5.8233518569535505,15.176212842556545,1.228869445072614
2014-03-30,ARIMAX,EGARCH,11.0,4.578022081090891,11.370574829522239,1.034634886060769
2014-04-06,ARIMAX,EGARCH,8.0,6.000856290998819,13.899214935831823,1.7266271240558333
2014-04-13,ARIMAX,EGARCH,6.0,6.1767922701577405,12.707259536755469,2.2914616322369175
2014-04-20,ARIMAX,EGARCH,14.0,5.844854596005569,12.36937909348779,2.0377642797607485
2014-04-27,ARIMAX,EGARCH,5.0,4.746823298403092,7.5092818832616315,2.711074209223522
2014-05-04,ARIMAX,EGARCH,15.0,8.053800575072064,11.616952147761015,5.295771192493154
2014-05-11,ARIMAX,EGARCH,14.0,8.085423456434913,11.862180582216729,5.198943287989278
2014-05-18,ARIMAX,EGARCH,9.0,8.315947123593052,12.254001516720688,5.3182042363722815
2014-05-25,ARIMAX,EGARCH,8.0,14.299265791387846,20.033093260083845,9.812450919156294
2014-06-01,ARIMAX,EGARCH,8.0,5.852584306113172,9.247052658659166,3.3711402597811535
2014-06-08,ARIMAX,EGARCH,13.0,10.528716011674423,15.037066790122877,7.034023641693667
2014-06-15,ARIMAX,EGARCH,12.0,7.0644297747707006,10.010153278032877,4.746511929548292
2014-06-22,ARIMAX,EGARCH,13.0,12.507685996182154,17.04300307307686,8.87617289272572
2014-06-29,ARIMAX,EGARCH,11.0,13.0572177813155,17.51350071657956,9.448694658024538
2014-07-06,ARIMAX,EGARCH,13.0,8.808278278927059,12.018735588803844,6.224619835448749
2014-07-13,ARIMAX,EGARCH,10.0,17.799252098582045,22.811670336835093,13.613495469710514
2014-07-20,ARIMAX,EGARCH,13.0,8.093388515196635,14.632411166652334,3.8364379964660364
2014-07-27,ARIMAX,EGARCH,7.0,13.9377573426456,21.03563150690944,8.691108733013651
2014-08-03,ARIMAX,EGARCH,11.0,10.153915707729107,17.541523102958255,5.206664982321592
2014-08-10,ARIMAX,EGARCH,17.0,8.727600267141737,13.638199851418149,5.156295716435767
2014-08-17,ARIMAX,EGARCH,8.0,13.101036774894474,19.915372732075674,8.086389652751844
2014-08-24,ARIMAX,EGARCH,14.0,10.085739995318582,15.188463122626981,6.282643079354183
2014-08-31,ARIMAX,EGARCH,15.0,12.054586855074335,17.90644188221518,7.663734227592011
2014-09-07,ARIMAX,EGARCH,8.0,14.325298482424857,19.107715929500408,10.441107632981488
2014-09-14,ARIMAX,EGARCH,9.0,10.60573696553883,20.468748855331743,4.5736384560795855
2014-09-21,ARIMAX,EGARCH,16.0,9.582898100957715,14.65414687920561,5.842631441587612
2014-09-28,ARIMAX,EGARCH,16.0,13.154503724964735,23.51952367245989,6.450250498347661
2014-10-05,ARIMAX,EGARCH,14.0,13.144233315022168,22.778689164450288,6.753047177859935
2014-10-12,ARIMAX,EGARCH,12.0,12.813241574835315,18.1020707857761,8.694105336875039
2014-10-19,ARIMAX,EGARCH,8.0,12.798092739407174,17.113340622009552,9.29477125732434
2014-10-26,ARIMAX,EGARCH,9.0,10.646296076426271,19.288276910639613,5.083068567434226
2014-11-02,ARIMAX,EGARCH,16.0,8.984830838884761,14.738836892369763,4.957032693615358
2014-11-09,ARIMAX,EGARCH,12.0,10.822268013178553,18.823693391010153,5.502816391350809
2014-11-16,ARIMAX,EGARCH,11.0,11.476474515208253,19.35484447617063,6.117169082337623
2014-11-23,ARIMAX,EGARCH,14.0,10.298860034312657,14.387531398158563,7.075146997541379
2014-11-30,ARIMAX,EGARCH,9.0,12.308999689663807,19.7708680897328,7.042520305329601
2014-12-07,ARIMAX,EGARCH,10.0,11.41361926302034,19.03979106759974,6.180045016130419
2014-12-14,ARIMAX,EGARCH,2.0,10.996667429908747,14.982417677137127,7.798495900542551
2014-12-21,ARIMAX,EGARCH,7.0,6.6258977571005495,16.208526737037364,1.704236916494128
2014-12-28,ARIMAX,EGARCH,13.0,6.996727269292011,16.39474637156309,2.008776930852398
2015-01-04,ARIMAX,EGARCH,17.0,10.406176871679007,23.055110302203715,3.505872451361953
2015-01-11,ARIMAX,EGARCH,19.0,14.96275376981735,31.77595169159709,5.571704033362223
2015-01-18,ARIMAX,EGARCH,16.0,17.07186874523107,35.039448509923496,6.7760017960699885
