,Modelo_1,Modelo_2,Observado,Forecast,Upper,Lower
2018-12-23,ARIMAX,EGARCH,3.0,1.8560738306950197,7.110049773514098,-0.32840272622469663
2018-12-30,ARIMAX,EGARCH,2.0,2.58685585631708,8.693593774738599,-0.07256908790147362
2019-01-06,ARIMAX,EGARCH,4.0,2.8440582275637456,9.291619427618606,0.011559315643816345
2019-01-13,ARIMAX,EGARCH,3.0,3.816319522612036,11.350318204328893,0.3716633568724318
2019-01-20,ARIMAX,EGARCH,5.0,4.030103769917948,12.364546729510833,0.3425937862192706
2019-01-27,ARIMAX,EGARCH,1.0,4.987648219201284,14.270585417990082,0.7220137499506872
2019-02-03,ARIMAX,EGARCH,8.0,3.45537003073493,11.114590708987716,0.1388071886977484
2019-02-10,ARIMAX,EGARCH,7.0,5.002914707817356,14.748305225723005,0.6401445419809046
2019-02-17,ARIMAX,EGARCH,2.0,6.374396983499269,17.82126634526721,1.1180075961351887
2019-02-24,ARIMAX,EGARCH,4.0,4.6289308880226585,14.016337642884004,0.49116095826693257
2019-03-03,ARIMAX,EGARCH,2.0,4.658754867134457,13.037234537324764,0.7094631561306218
2019-03-10,ARIMAX,EGARCH,3.0,3.581922095670149,11.189626634686267,0.22001969257090137
2019-03-17,ARIMAX,EGARCH,2.0,3.387116082508022,10.598546707744175,0.1817593482624554
2019-03-24,ARIMAX,EGARCH,4.0,2.737517455427469,8.651510026435679,0.05101189553316583
2019-03-31,ARIMAX,EGARCH,3.0,2.940406511262069,9.220834883100476,0.09915062155462932
2019-04-07,ARIMAX,EGARCH,1.0,2.8956719338528196,8.958800517435945,0.11563510297091335
2019-04-14,ARIMAX,EGARCH,1.0,1.711220999487666,5.617652616011103,-0.1575380657567083
2019-04-21,ARIMAX,EGARCH,3.0,1.4184804570374552,5.50414072568079,-0.3689066891447325
2019-04-28,ARIMAX,EGARCH,1.0,1.6751193212872943,5.604359074856651,-0.1850823097754222
2019-05-05,ARIMAX,EGARCH,1.0,1.4268035720992989,5.184419946876456,-0.3010988915022251
2019-05-12,ARIMAX,EGARCH,6.0,1.0230090721689231,4.167732390466737,-0.41988125047427344
2019-05-19,ARIMAX,EGARCH,5.0,2.0934025428265097,6.887247388170862,-0.10994932121498648
2019-05-26,ARIMAX,EGARCH,3.0,2.966497744241837,8.253044144097757,0.3313521896659926
2019-06-02,ARIMAX,EGARCH,3.0,3.0157127286866277,8.376898521156136,0.345693108687731
2019-06-09,ARIMAX,EGARCH,0.0,2.977334718406757,8.047285864450059,0.3920396635429153
2019-06-16,ARIMAX,EGARCH,4.0,1.358262126541319,5.0460710730977665,-0.3281513496094686
2019-06-23,ARIMAX,EGARCH,2.0,2.28478802988068,7.1418473324896565,-0.00630836599693175
2019-06-30,ARIMAX,EGARCH,2.0,2.402305394807133,7.566128512239292,0.0012107011794888867
2019-07-07,ARIMAX,EGARCH,3.0,2.5167561734832087,7.713473858755625,0.0645806931234774
2019-07-14,ARIMAX,EGARCH,0.0,2.871064291968986,8.322152101566315,0.23114443773169835
2019-07-21,ARIMAX,EGARCH,3.0,1.6771625364956622,6.11864544576823,-0.28648658409416966
2019-07-28,ARIMAX,EGARCH,7.0,2.4787120288169002,7.913992352950408,-0.008009967566687853
2019-08-04,ARIMAX,EGARCH,5.0,4.521474781964182,12.721595017270628,0.6626795899516105
2019-08-11,ARIMAX,EGARCH,6.0,4.941086791288222,13.537420315281638,0.8381178663585629
2019-08-18,ARIMAX,EGARCH,4.0,5.8680340204373955,14.487610511727231,1.4382467170760935
2019-08-25,ARIMAX,EGARCH,7.0,4.92408844447401,12.724561565261146,1.0115012854919776
2019-09-01,ARIMAX,EGARCH,6.0,7.3348981895609,17.19383071109883,2.118590521446753
2019-09-08,ARIMAX,EGARCH,3.0,7.938983965738512,19.615778649422207,2.058135194840097
2019-09-15,ARIMAX,EGARCH,2.0,6.2664733207991095,17.06574764571958,1.1865324007676323
2019-09-22,ARIMAX,EGARCH,5.0,4.281471875068228,12.493546000314604,0.514084924651958
2019-09-29,ARIMAX,EGARCH,4.0,4.973132170400416,13.917287169468466,0.7831606487300532
2019-10-06,ARIMAX,EGARCH,8.0,4.923175098264081,13.1279142148205,0.9149082840055824
2019-10-13,ARIMAX,EGARCH,2.0,6.127531840380642,15.795744354458355,1.3521017631757903
2019-10-20,ARIMAX,EGARCH,5.0,4.4480999991584325,12.54154644301895,0.6400950821929794
2019-10-27,ARIMAX,EGARCH,2.0,4.792857807382281,13.489577466506791,0.7246040606912628
2019-11-03,ARIMAX,EGARCH,8.0,3.7618308508036775,11.101219808575978,0.37822475448202814
2019-11-10,ARIMAX,EGARCH,2.0,5.21766444087725,13.954764097188832,0.9816216753992423
2019-11-17,ARIMAX,EGARCH,10.0,3.908245656598818,11.24819688796682,0.4672954572575658
2019-11-24,ARIMAX,EGARCH,2.0,5.7547032534902876,15.255930570011548,1.1506292237189515
2019-12-01,ARIMAX,EGARCH,6.0,4.5578902035890945,13.113352498213235,0.610849406745165
2019-12-08,ARIMAX,EGARCH,9.0,5.449072410348651,15.444868203886687,0.8552243413207592
2019-12-15,ARIMAX,EGARCH,3.0,7.0840689193647925,18.23009621986287,1.6255331985294919
2019-12-22,ARIMAX,EGARCH,6.0,5.851624230507747,15.71252431989521,1.1314853216235963
2019-12-29,ARIMAX,EGARCH,14.0,6.839469317118695,17.897984260872757,1.4888858298908554
2020-01-05,ARIMAX,EGARCH,16.0,9.726602646120082,24.190139559312904,2.5603562456731117
2020-01-12,ARIMAX,EGARCH,14.0,12.879459956923853,30.078859261095026,3.984292213718315
2020-01-19,ARIMAX,EGARCH,16.0,14.814085483818056,34.77889330344167,4.584043842344373
2020-01-26,ARIMAX,EGARCH,16.0,15.845696165587409,35.60746822311642,5.348091095032214
2020-02-02,ARIMAX,EGARCH,12.0,17.811635282625524,40.27880366947994,5.9798220833900135
2020-02-09,ARIMAX,EGARCH,22.0,16.48576721586717,39.58256029695676,4.919519085867415
2020-02-16,ARIMAX,EGARCH,10.0,19.23429458440599,43.93871568095153,6.363567701464445
2020-02-23,ARIMAX,EGARCH,7.0,15.816757766493343,37.050403985693706,4.937327752547076
2020-03-01,ARIMAX,EGARCH,7.0,12.375026367083677,29.789725715285403,3.589777918508184
2020-03-08,ARIMAX,EGARCH,8.0,9.653933964561004,22.414769324158115,2.943110653851571
2020-03-15,ARIMAX,EGARCH,3.0,9.493701861770843,23.382456787690277,2.5457310500637815
2020-03-22,ARIMAX,EGARCH,4.0,6.098073399049123,15.912183352789347,1.2989224321140396
2020-03-29,ARIMAX,EGARCH,2.0,5.038637737155447,13.631179870187141,0.9004347054194644
2020-04-05,ARIMAX,EGARCH,3.0,3.305163882763658,9.54577128182941,0.3294911651237489
2020-04-12,ARIMAX,EGARCH,1.0,2.8567990677794923,8.23011064205222,0.23975764019427737
2020-04-19,ARIMAX,EGARCH,1.0,1.8977185761708892,6.304647790502939,-0.14912889075804647
2020-04-26,ARIMAX,EGARCH,0.0,1.3216687595525438,4.582023205519167,-0.2595947865483153
2020-05-03,ARIMAX,EGARCH,0.0,0.6342706849151997,3.294582613271505,-0.5548437971569823
2020-05-10,ARIMAX,EGARCH,0.0,0.3153725106410623,2.53523718816585,-0.6563477417715458
