,Modelo_1,Modelo_2,Observado,Forecast,Upper,Lower
2014-05-04,ARIMAX,GARCH,15.0,6.888421703724492,19.673296173616794,1.1594293663577098
2014-05-11,ARIMAX,GARCH,14.0,8.906180934169642,20.042497954115834,2.869610224221153
2014-05-18,ARIMAX,GARCH,9.0,8.515480411527339,19.120868652791245,2.7435063445611796
2014-05-25,ARIMAX,GARCH,8.0,14.521034709573529,31.101470193472554,5.319056583263879
2014-06-01,ARIMAX,GARCH,8.0,6.151566206814206,13.975041085433988,1.8566501806160993
2014-06-08,ARIMAX,GARCH,13.0,9.195263142628908,24.93101697352487,1.9463873620506058
2014-06-15,ARIMAX,GARCH,12.0,8.247336827654864,17.272883746994623,3.0338856457725885
2014-06-22,ARIMAX,GARCH,13.0,12.637710248834624,26.206813491054167,4.864799822709746
2014-06-29,ARIMAX,GARCH,11.0,13.007762624830008,26.156233549849784,5.285565784515255
2014-07-06,ARIMAX,GARCH,13.0,7.585666931343582,15.264341455941182,2.9847290940000044
2014-07-13,ARIMAX,GARCH,10.0,13.899191823901552,28.656549213888027,5.428948883703209
2014-07-20,ARIMAX,GARCH,13.0,9.549144947033147,19.560652034036323,3.6965260959933923
2014-07-27,ARIMAX,GARCH,7.0,12.984977811114858,25.97640838044418,5.3217240086945825
2014-08-03,ARIMAX,GARCH,11.0,11.288929791051968,23.2644266419292,4.366844318286103
2014-08-10,ARIMAX,GARCH,17.0,10.524139038243783,21.1616641715482,4.232718031636971
2014-08-17,ARIMAX,GARCH,8.0,13.884039302512866,28.041025745923136,5.615827248283357
2014-08-24,ARIMAX,GARCH,14.0,12.802481919095737,26.14510993581611,5.063475753163711
2014-08-31,ARIMAX,GARCH,15.0,9.829129402836875,19.913491984298705,3.886732217636537
2014-09-07,ARIMAX,GARCH,8.0,11.367951312339198,23.390198009623475,4.411328766617265
2014-09-14,ARIMAX,GARCH,9.0,8.037412742532712,16.320677204871487,3.1239676311337514
2014-09-21,ARIMAX,GARCH,16.0,9.8364260878978,19.422221979980222,4.0670740395621925
2014-09-28,ARIMAX,GARCH,16.0,8.478548258172834,17.163884950202934,3.326049831534224
2014-10-05,ARIMAX,GARCH,14.0,9.912251130085549,20.130087372608852,3.9050705970304573
2014-10-12,ARIMAX,GARCH,12.0,10.515834959520019,21.016368902887283,4.2738472248549675
2014-10-19,ARIMAX,GARCH,8.0,12.105167145873757,23.5061205229422,5.197072734222351
2014-10-26,ARIMAX,GARCH,9.0,8.311078136574364,16.41599407458607,3.4012597024254796
2014-11-02,ARIMAX,GARCH,16.0,8.289306833455171,16.06841683024678,3.5041140341663057
2014-11-09,ARIMAX,GARCH,12.0,9.898567682977443,19.158151597204757,4.234927559035216
2014-11-16,ARIMAX,GARCH,11.0,9.62475710232364,18.34974442473702,4.216748910236669
2014-11-23,ARIMAX,GARCH,14.0,10.161137265302626,19.019799246246578,4.598428811594774
2014-11-30,ARIMAX,GARCH,9.0,10.358896480411708,19.21494445591621,4.760426671740874
2014-12-07,ARIMAX,GARCH,10.0,8.732340399688653,16.07598916973972,4.033548700301062
2014-12-14,ARIMAX,GARCH,2.0,9.49651044221761,17.163097978250825,4.533077036138243
2014-12-21,ARIMAX,GARCH,7.0,6.643298333802345,15.61483244357385,1.878863855720174
2014-12-28,ARIMAX,GARCH,13.0,7.124823526250523,16.472280066530384,2.112947919785296
2015-01-04,ARIMAX,GARCH,17.0,8.862408888717383,20.24251741733486,2.769250141933255
2015-01-11,ARIMAX,GARCH,19.0,12.493431723503978,28.231654612647823,4.110006730666014
2015-01-18,ARIMAX,GARCH,16.0,13.752967272082959,30.957055571815857,4.5878874067878135
