,Modelo_1,Modelo_2,Observado,Forecast,Upper,Lower
2014-05-04,ARIMAX,EGARCH,15.0,7.04239897748226,21.03825137543414,1.0256835307034047
2014-05-11,ARIMAX,EGARCH,14.0,8.999385976984586,20.93352959523319,2.7124104842704253
2014-05-18,ARIMAX,EGARCH,9.0,8.591954824471104,19.85438577174686,2.6118349532908263
2014-05-25,ARIMAX,EGARCH,8.0,14.234769070578418,28.240127930471637,5.937418572205268
2014-06-01,ARIMAX,EGARCH,8.0,6.038525322548175,12.858132966744018,2.0868843533321466
2014-06-08,ARIMAX,EGARCH,13.0,8.620601906076542,19.6220781994039,2.7049040332958243
2014-06-15,ARIMAX,EGARCH,12.0,8.166974489177498,16.4552677465107,3.222835451413088
2014-06-22,ARIMAX,EGARCH,13.0,12.329272685871272,23.017992466787888,5.643457614514407
2014-06-29,ARIMAX,EGARCH,11.0,12.781766256637395,23.792566441815243,5.884817384187817
2014-07-06,ARIMAX,EGARCH,13.0,7.442629630618788,13.735786336441146,3.398068288623904
2014-07-13,ARIMAX,EGARCH,10.0,13.877847293477858,28.44265401000133,5.475653957634034
2014-07-20,ARIMAX,EGARCH,13.0,9.374463523707531,17.74032910273251,4.15271841274182
2014-07-27,ARIMAX,EGARCH,7.0,12.794924873327147,23.990094576128907,5.824200204904581
2014-08-03,ARIMAX,EGARCH,11.0,11.190925032030687,22.267848689250048,4.596709949376284
2014-08-10,ARIMAX,EGARCH,17.0,10.303022021683352,18.817952642687594,4.851549946272183
2014-08-17,ARIMAX,EGARCH,8.0,13.957020331228222,28.77568755664107,5.452593549099243
2014-08-24,ARIMAX,EGARCH,14.0,12.804573946516077,26.16619437858071,5.0587697201548
2014-08-31,ARIMAX,EGARCH,15.0,9.702421241842053,18.595149949176967,4.215506659965543
2014-09-07,ARIMAX,EGARCH,8.0,11.25864570677723,22.2762532127345,4.67030178382654
2014-09-14,ARIMAX,EGARCH,9.0,8.050001267223466,16.44956589359607,3.0935065420980337
2014-09-21,ARIMAX,EGARCH,16.0,9.834218130674685,19.399278191389453,4.072773156680295
2014-09-28,ARIMAX,EGARCH,16.0,8.460664631126578,16.979825804157215,3.37033552408856
2014-10-05,ARIMAX,EGARCH,14.0,9.801004583131933,18.978159679115254,4.187893777444178
2014-10-12,ARIMAX,EGARCH,12.0,10.224451209739275,17.864795250441748,5.154902001237272
2014-10-19,ARIMAX,EGARCH,8.0,11.89158713338602,21.19747921748095,5.8415971843638115
2014-10-26,ARIMAX,EGARCH,9.0,8.264960950370837,15.929749784064505,3.52766956841307
2014-11-02,ARIMAX,EGARCH,16.0,8.23391408414223,15.474205533078155,3.666573792086861
2014-11-09,ARIMAX,EGARCH,12.0,9.739555396529118,17.428239508166087,4.726345334759466
2014-11-16,ARIMAX,EGARCH,11.0,9.401844591746782,15.838275815649425,4.994839331904105
2014-11-23,ARIMAX,EGARCH,14.0,9.96561886961913,16.802743306256666,5.295626408495174
2014-11-30,ARIMAX,EGARCH,9.0,10.151498995987717,16.83475622009176,5.529200835413548
2014-12-07,ARIMAX,EGARCH,10.0,8.550542929251476,13.947942125077764,4.750144225371172
2014-12-14,ARIMAX,EGARCH,2.0,9.33182293361569,15.223218501727072,5.194690672377367
2014-12-21,ARIMAX,EGARCH,7.0,6.451560166158256,13.743410535676638,2.244286013396047
2014-12-28,ARIMAX,EGARCH,13.0,7.005900967579242,15.317430707103538,2.333263604014196
2015-01-04,ARIMAX,EGARCH,17.0,8.59355405819349,17.596278364377223,3.305612134935929
2015-01-11,ARIMAX,EGARCH,19.0,12.14511654104266,24.821917539682666,4.784773791085783
2015-01-18,ARIMAX,EGARCH,16.0,13.195876553812644,25.417183465275066,5.759707317871282
2015-01-25,ARIMAX,EGARCH,15.0,14.759372008414095,28.152687058353,6.568274790730019
2015-02-01,ARIMAX,EGARCH,22.0,16.519822240706524,28.855082832930098,8.42976314084365
2015-02-08,ARIMAX,EGARCH,22.0,19.518129349712133,33.99828831251212,10.029093539484474
2015-02-15,ARIMAX,EGARCH,30.0,24.21443788259062,43.55584399345687,11.913462299963477
2015-02-22,ARIMAX,EGARCH,35.0,27.820998255665373,47.569702839363856,14.746901629233644
2015-03-01,ARIMAX,EGARCH,67.0,30.141531680310514,49.81594885747914,16.760063987531712
2015-03-08,ARIMAX,EGARCH,66.0,46.378614223721634,80.62136220472836,24.126273250710135
2015-03-15,ARIMAX,EGARCH,47.0,51.57267218656737,86.65904717231615,28.136181295885248
2015-03-22,ARIMAX,EGARCH,31.0,55.39814264051058,93.64999528209053,29.986110875518712
2015-03-29,ARIMAX,EGARCH,44.0,52.842972214199776,91.36783258473912,27.718651176084705
2015-04-05,ARIMAX,EGARCH,56.0,48.480823629323325,86.27714721817732,24.40538439480826
2015-04-12,ARIMAX,EGARCH,46.0,47.46737482721671,84.59913882105114,23.840986861965963
2015-04-19,ARIMAX,EGARCH,52.0,51.20146421046517,91.93752772391112,25.458300723081802
2015-04-26,ARIMAX,EGARCH,57.0,55.56556538569567,95.11959138204246,29.56217551809639
2015-05-03,ARIMAX,EGARCH,45.0,51.30038464609035,88.80804266984218,26.859349143519093
2015-05-10,ARIMAX,EGARCH,59.0,49.33741573217986,86.64794638555736,25.309285775301543
2015-05-17,ARIMAX,EGARCH,47.0,51.46023239576054,86.58655727010944,28.0229096697423
2015-05-24,ARIMAX,EGARCH,31.0,52.36514776628592,90.34341496677412,27.550431451754022
2015-05-31,ARIMAX,EGARCH,43.0,45.0836943049941,75.91807877140158,24.505066725576096
2015-06-07,ARIMAX,EGARCH,51.0,47.097034907326574,81.6316967903794,24.60282869097763
2015-06-14,ARIMAX,EGARCH,36.0,44.50904318283185,75.06630191791564,24.139533107078485
2015-06-21,ARIMAX,EGARCH,19.0,53.21126864803353,94.33608004472954,26.94915133947851
2015-06-28,ARIMAX,EGARCH,19.0,36.9841355656779,68.98157071844682,17.3469482960288
2015-07-05,ARIMAX,EGARCH,14.0,28.276782734055768,58.52984047583785,11.233441851637355
2015-07-12,ARIMAX,EGARCH,18.0,22.181359144649164,44.83351319538777,9.103401978276572
2015-07-19,ARIMAX,EGARCH,16.0,21.3509730452383,43.90549877011039,8.510414217710851
2015-07-26,ARIMAX,EGARCH,18.0,23.55110199460419,48.689207884416774,9.331412619917698
2015-08-02,ARIMAX,EGARCH,16.0,17.74338146372666,36.34207437615492,7.076763533005486
2015-08-09,ARIMAX,EGARCH,22.0,18.051325790170466,38.066587626537654,6.858908716134463
2015-08-16,ARIMAX,EGARCH,21.0,18.82961231922645,39.6506120853647,7.183627819121358
2015-08-23,ARIMAX,EGARCH,28.0,21.749318741820648,43.50068680912819,9.07384277694465
2015-08-30,ARIMAX,EGARCH,20.0,19.780469996975043,39.564438238018916,8.230491607173546
2015-09-06,ARIMAX,EGARCH,20.0,23.202799798593492,46.06628063709409,9.810939872573542
2015-09-13,ARIMAX,EGARCH,24.0,19.26136507466149,37.20229072270887,8.467726833920567
2015-09-20,ARIMAX,EGARCH,25.0,23.66413777543638,46.016656996070964,10.343278318541536
